sku_id_pk,product_description,brand_tier,is_snap_eligible,wellness_score,size_uom
0001111042021,Fry's 1% Lowfat Milk Half Gallon,Private Label,True,62,1/2 gal
0001111042020,Fry's 1% Lowfat Milk Gallon,Private Label,True,61,1 gal
0081326702007,a2 Milk 2% Reduced Fat Milk 59 fl oz,Private Label,True,56,59 fl oz
0001111050322,Kroger® Whole Vitamin D Milk 32 fl. oz. Bottle,Private Label,True,52,1 qt
0001111050323,Kroger® 2% Reduced Fat Milk 32 fl. oz. Bottle,Private Label,True,56,1 qt
0081326702000,a2 Milk Whole Milk 59 fl oz,Private Label,True,52,59 fl oz
0001111042902,Simple Truth Organic® 2% Reduced Fat Milk Gallon,Premium,True,56,1 gal
0002830000130,Shamrock Farms® Vitamin D Whole Milk,Private Label,True,52,1 gal
0009396651300,Organic Valley® Whole Milk Half Gallon,Private Label,True,52,64 fl oz
0074236500421,Horizon Organic 1% Lowfat Strawberry Milk,Private Label,True,43,6 ct / 8 fl oz
0001111008303,Kroger® CARBmaster® Lactose Free Non-Fat Ultra Filtered Milk,Private Label,True,64,59 fl oz
0001111050438,Simple Truth Organic® Lactose Free 2% Reduced Fat Milk Half Gallon,Premium,True,56,1/2 gal
0001111042010,Fry's Vitamin D Whole Milk Gallon,Private Label,True,52,1 gal
0001111042011,Fry's Vitamin D Whole Milk Half Gallon,Private Label,True,52,1/2 gal
0001111050434,Simple Truth Organic® Lactose Free Vitamin D Whole Milk Half Gallon,Premium,True,52,1/2 gal
0001111042850,Simple Truth Organic® Vitamin D Whole Milk Half Gallon,Premium,True,52,1/2 gal
0001111042852,Simple Truth Organic® 2% Reduced Fat Milk Half Gallon,Premium,True,56,1/2 gal
0001111042016,Fry's 2% Reduced Fat Milk Gallon,Private Label,True,56,1 gal
0004138309073,Lactaid® Lactose-Free Whole Milk,Private Label,True,52,96 fl oz
0001111042018,Fry's Skim Milk Gallon,Private Label,True,68,1 gal
0002830000089,Shamrock Farms® Whole Milk,Private Label,True,54,12 fl oz
0001111042017,Fry's 2% Reduced Fat Milk Half Gallon,Private Label,True,56,1/2 gal
0001111050277,Kroger® 2% Reduced Fat Milk 16 fl. oz. Bottle,Private Label,True,56,1 pt
0001111050274,Kroger® Vitamin D Whole Milk 16 fl. oz. Bottle,Private Label,True,54,1 pt
0001111008019,Simple Truth Organic® Low Fat Chocolate Milk,Premium,True,46,12 ct / 8 fl oz
0001111042019,Fry's Skim Milk Half Gallon,Private Label,True,68,1/2 gal
0001111042858,Simple Truth Organic® Vitamin D Whole Milk with DHA Omega-3 Half Gallon,Premium,True,54,1/2 gal
0002830001130,Shamrock Farms® 2% Reduced Fat Milk,Private Label,True,56,1 gal
0074236526502,Horizon Organic Growing Years Whole Milk,Private Label,True,53,59 fl oz
0074236526425,Horizon Organic 2% Reduced Fat Milk Half Gallon,Private Label,True,56,1/2 gal
0001111082556,Kroger® Lactose Free 2% Reduced Fat Milk Half Gallon,Private Label,True,56,1/2 gal
0074236500417,Horizon Organic 1% Lowfat Vanilla Milk,Private Label,True,45,6 ct / 8 fl oz
0074236500416,Horizon Organic Lowfat Chocolate Milk,Private Label,True,43,6 ct / 8 fl oz
0001111050582,Mountain Dairy™ 1% LowFat Chocolate Milk Gallon,Private Label,True,39,1 gal
0001111050583,Mountain Dairy™ 1% LowFat Chocolate Milk Half Gallon,Private Label,True,39,1/2 gal
0002830000030,Shamrock Farms Whole Milk,Private Label,True,53,1 qt
0085529800502,Danzeisen Dairy Local 2% Reduced Fat Milk,Private Label,True,55,1/2 gal
0085529800500,Danzeisen Dairy Local Vitamin D Whole Milk,Private Label,True,50,1/2 gal
0074236526435,Horizon Organic DHA Omega-3 2% Reduced Fat Half Gallon,Private Label,True,56,1/2 gal
0001111085333,Kroger® Lactose Free Vitamin D Milk Half Gallon,Private Label,True,52,1/2 gal
0081162002016,"fairlife Ultra-Filtered Milk, Lactose Free, High Protein, Whole Milk",Private Label,True,55,52 fl oz
0074236500707,Horizon Organic Grassfed Vitamin D Whole Milk,Private Label,True,53,59 fl oz
0074236500270,Horizon Organic Lowfat Chocolate Milk,Private Label,True,43,12 ct / 8 fl oz
0001111042908,Simple Truth Organic® Vitamin D Whole Milk Gallon,Premium,True,52,1 gal
0074236526447,Horizon Organic DHA Omega-3 Whole Milk Half Gallon,Private Label,True,52,1/2 gal
0074236500432,Horizon Organic DHA Omega-3 Lowfat Chocolate Milk,Private Label,True,42,6 ct / 8 fl oz
0074236526445,Horizon Organic Vitamin D Whole Milk Half Gallon,Private Label,True,52,1/2 gal
0002640041756,"Darigold FIT 2% Milk Ultra-Filtered, 59oz",Private Label,True,59,59 fl oz
0074236526402,Horizon Organic Lactose Free 2% Reduced Fat Milk Half Gallon,Private Label,True,56,1/2 gal
0074236500318,Horizon Organic 1% Lowfat Vanilla Milk,Private Label,True,45,12 ct / 8 fl oz
